tag_pairs,count
"['math.CT', 'math.KT']",1
"['cs.GT', 'math.NA']",3
"['cs.NE', 'q-fin.PM']",1
"['cs.DB', 'cs.GR']",4
"['cs.CG', 'cs.CV']",38
"['eess.SP', 'eess.SY']",127
"['cs.CL', 'q-fin.ST']",19
"['physics.data-an', 'physics.soc-ph']",32
"['cs.LG', 'cs.MS']",39
"['cond-mat.mtrl-sci', 'cs.AI']",34
"['cs.DC', 'cs.MA']",54
"['cs.SE', 'math.DS']",1
"['math.DS', 'q-bio.NC']",6
"['math.AP', 'math.ST']",2
"['cs.LG', 'physics.class-ph']",4
"['math.AT', 'math.SG']",1
"['astro-ph.HE', 'cond-mat.mtrl-sci']",1
"['cond-mat.str-el', 'physics.data-an']",1
"['cond-mat.other', 'quant-ph']",5
"['econ.TH', 'stat.AP']",1
"['math.OC', 'physics.plasm-ph']",1
"['cs.SD', 'eess.AS']",3070
"['eess.AS', 'eess.SP']",157
"['cs.HC', 'cs.SE']",106
"['astro-ph.IM', 'cs.PF']",4
"['econ.EM', 'q-fin.RM']",2
"['cond-mat.stat-mech', 'q-bio.GN']",1
"['cs.SD', 'physics.soc-ph']",1
"['cs.CL', 'hep-ph']",1
"['cs.NE', 'physics.bio-ph']",6
"['cs.ET', 'physics.ins-det']",1
"['cond-mat.other', 'q-bio.QM']",1
"['cs.DB', 'eess.IV']",1
"['math.GT', 'math.HO']",1
"['astro-ph.HE', 'hep-ex']",3
"['cs.RO', 'math.AG']",2
"['cs.MS', 'math.NA']",58
"['cs.MS', 'stat.CO']",15
"['cs.SI', 'eess.SP']",29
"['cond-mat.stat-mech', 'q-bio.PE']",9
"['cs.CY', 'stat.AP']",60
"['cs.MM', 'stat.ML']",3
"['cs.IR', 'q-bio.GN']",4
"['cond-mat.mtrl-sci', 'cs.CL']",18
"['math.AP', 'math.PR']",10
"['cs.AR', 'physics.ins-det']",5
"['physics.flu-dyn', 'physics.med-ph']",2
"['cs.AI', 'math.RT']",3
"['cs.NE', 'cs.OH']",1
"['nlin.CG', 'nlin.PS']",1
"['cond-mat.dis-nn', 'eess.SP']",3
"['gr-qc', 'math.MG']",1
"['cs.CE', 'hep-ex']",1
"['cs.RO', 'math.DS']",27
"['cs.GT', 'physics.soc-ph']",33
"['cs.IT', 'math.GN']",3
"['cs.CR', 'math.PR']",15
"['q-bio.GN', 'stat.ML']",15
"['cs.CR', 'cs.GR']",3
"['eess.SY', 'physics.data-an']",5
"['cs.GR', 'physics.optics']",12
"['astro-ph.CO', 'cs.DS']",2
"['econ.EM', 'stat.CO']",4
"['cs.CV', 'q-bio.BM']",5
"['econ.GN', 'math.OC']",4
"['cs.SE', 'physics.data-an']",3
"['cond-mat.quant-gas', 'cond-mat.stat-mech']",2
"['math.GR', 'math.LO']",2
"['cs.AR', 'physics.comp-ph']",3
"['cs.AR', 'physics.chem-ph']",1
"['math.DS', 'math.LO']",2
"['cs.SD', 'physics.ao-ph']",3
"['cs.DB', 'quant-ph']",3
"['cs.MA', 'nlin.AO']",23
"['cs.SI', 'quant-ph']",5
"['eess.SY', 'physics.optics']",3
"['cs.GT', 'cs.LO']",30
"['math.CO', 'math.GT']",12
"['cs.DL', 'q-bio.OT']",2
"['cs.CR', 'q-fin.ST']",7
"['physics.ao-ph', 'physics.flu-dyn']",9
"['cond-mat.mtrl-sci', 'eess.SP']",5
"['cs.SC', 'physics.chem-ph']",1
"['cs.SD', 'physics.ins-det']",1
"['eess.SY', 'physics.space-ph']",1
"['cs.CC', 'cs.NI']",3
"['cs.IT', 'q-fin.TR']",1
"['cs.SD', 'physics.class-ph']",4
"['cs.GL', 'cs.IR']",1
"['cs.RO', 'eess.AS']",10
"['cs.CE', 'cs.IR']",9
"['cs.CC', 'gr-qc']",1
"['cs.CC', 'cs.CV']",5
"['cond-mat.quant-gas', 'cs.CV']",2
"['hep-th', 'math.OA']",2
"['math.DS', 'physics.geo-ph']",2
"['cs.DS', 'math.SP']",1
"['math.NA', 'physics.med-ph']",3
"['cs.IR', 'cs.MA']",5
"['astro-ph.GA', 'physics.flu-dyn']",1
"['cond-mat.dis-nn', 'math.PR']",21
"['cs.CY', 'cs.HC']",434
"['cs.CG', 'math.GT']",26
"['math.CT', 'math.LO']",26
"['cs.LO', 'math.AT']",11
"['cs.CL', 'quant-ph']",17
"['cs.CV', 'math.DG']",12
"['cs.LG', 'physics.ins-det']",50
"['cond-mat.mtrl-sci', 'cond-mat.stat-mech']",9
"['cond-mat.soft', 'cond-mat.stat-mech']",5
"['cs.AI', 'q-fin.PM']",18
"['cond-mat.stat-mech', 'math.PR']",6
"['cs.MM', 'cs.RO']",17
"['cs.CC', 'cs.IR']",1
"['cs.IR', 'q-fin.TR']",1
"['cs.CE', 'q-fin.MF']",3
"['cs.DM', 'math.AG']",3
"['cs.CL', 'stat.CO']",4
"['cs.DC', 'math.CT']",2
"['cs.PL', 'math.NA']",4
"['cs.IT', 'math.OC']",114
"['eess.SP', 'physics.geo-ph']",9
"['cs.NI', 'eess.SP']",381
"['cs.AI', 'math.ST']",72
"['cs.NE', 'cs.PL']",8
"['cond-mat.dis-nn', 'cs.SI']",20
"['cs.LG', 'math.OA']",4
"['cond-mat.mtrl-sci', 'cond-mat.supr-con']",1
"['cs.IT', 'cs.PF']",14
"['cs.DC', 'physics.data-an']",3
"['cs.LO', 'math.RT']",1
"['cs.FL', 'nlin.CG']",3
"['astro-ph.IM', 'cs.SC']",1
"['physics.bio-ph', 'q-bio.NC']",4
"['cs.LG', 'q-bio.OT']",6
"['astro-ph.EP', 'eess.SY']",1
"['cs.CC', 'math.CO']",175
"['cs.GT', 'econ.TH']",207
"['econ.TH', 'stat.ME']",2
"['cs.FL', 'q-bio.QM']",2
"['cs.CV', 'math.NA']",55
"['cs.CL', 'cs.DB']",84
"['cs.CY', 'q-bio.QM']",8
"['cs.LO', 'math.CO']",38
"['cs.CL', 'math.LO']",11
"['math.LO', 'math.OA']",2
"['cs.ET', 'q-bio.GN']",3
"['cond-mat.mes-hall', 'cs.CC']",1
"['cs.SD', 'eess.SY']",6
"['cond-mat.soft', 'physics.data-an']",4
"['nlin.SI', 'physics.class-ph']",1
"['cs.CR', 'cs.CV']",514
"['cs.CV', 'q-bio.NC']",112
"['cs.DM', 'q-fin.PM']",1
"['cs.FL', 'cs.GT']",22
"['math.MG', 'math.PR']",9
"['cs.IT', 'math.RA']",13
"['cs.DS', 'cs.PF']",12
"['cs.LO', 'math.DS']",8
"['cs.DS', 'q-bio.QM']",3
"['q-fin.ST', 'stat.CO']",3
"['eess.SY', 'math.NA']",21
"['math.DG', 'stat.AP']",1
"['cs.DB', 'stat.ML']",6
"['cs.LO', 'q-bio.NC']",2
"['cs.CL', 'physics.app-ph']",3
"['astro-ph.IM', 'hep-th']",1
"['physics.geo-ph', 'stat.AP']",1
"['cs.LO', 'q-bio.MN']",1
"['cs.CL', 'cs.PL']",70
"['econ.TH', 'math.DS']",4
"['cond-mat.dis-nn', 'physics.data-an']",8
"['cs.FL', 'math.NT']",17
"['cs.MA', 'cs.SE']",15
"['cs.DB', 'cs.NI']",9
"['cs.CY', 'math.DS']",1
"['cs.ET', 'hep-ex']",2
"['cs.CE', 'cs.DB']",6
"['cs.CL', 'q-fin.TR']",5
"['cs.DC', 'physics.ins-det']",2
"['cs.LG', 'cs.SE']",484
"['stat.AP', 'stat.ML']",181
"['gr-qc', 'physics.comp-ph']",3
"['eess.SP', 'physics.med-ph']",16
"['cs.IT', 'math.OA']",10
"['cs.IT', 'math.NA']",38
"['math.SP', 'physics.soc-ph']",4
"['cs.DC', 'cs.RO']",20
"['cs.DB', 'cs.SI']",14
"['cs.CL', 'q-bio.QM']",25
"['cs.CR', 'physics.soc-ph']",6
"['cs.RO', 'math-ph']",4
"['cs.IR', 'stat.CO']",2
"['eess.AS', 'math.FA']",2
"['econ.GN', 'stat.ME']",1
"['cs.IT', 'quant-ph']",238
"['cs.LG', 'cs.LO']",158
"['stat.ME', 'stat.ML']",518
"['cs.CE', 'quant-ph']",14
"['physics.comp-ph', 'quant-ph']",28
"['physics.comp-ph', 'physics.geo-ph']",10
"['cs.LG', 'math.RT']",19
"['cs.CR', 'q-fin.CP']",11
"['physics.soc-ph', 'q-fin.TR']",2
"['cs.MS', 'math.AC']",2
"['cs.LG', 'math.QA']",2
"['math.AG', 'math.DG']",2
"['cs.LO', 'math.MG']",2
"['cs.CE', 'math.GT']",2
"['cs.MA', 'cs.NI']",32
"['astro-ph.IM', 'physics.comp-ph']",10
"['hep-ex', 'physics.data-an']",28
"['cs.RO', 'physics.flu-dyn']",7
"['eess.AS', 'stat.AP']",4
"['cs.DS', 'math.DG']",3
"['eess.SY', 'q-bio.MN']",6
"['cs.CC', 'math.NA']",19
"['cs.SC', 'math.LO']",2
"['nucl-th', 'physics.comp-ph']",1
"['physics.optics', 'stat.CO']",1
"['cs.CC', 'nlin.CG']",3
"['q-fin.GN', 'q-fin.RM']",2
"['cs.GR', 'cs.PF']",2
"['math.OC', 'stat.ML']",630
"['cond-mat.soft', 'cs.LG']",35
"['cs.ET', 'cs.NE']",63
"['cs.LG', 'physics.data-an']",178
"['astro-ph.EP', 'math.NA']",5
"['cs.SC', 'math.SP']",1
"['astro-ph.EP', 'astro-ph.GA']",3
"['q-bio.NC', 'q-bio.PE']",2
"['math.GT', 'math.QA']",2
"['cond-mat.soft', 'cs.CV']",2
"['cs.GT', 'math.AT']",1
"['cond-mat.soft', 'cs.IT']",2
"['cs.CC', 'math.SP']",1
"['cond-mat.mes-hall', 'cs.CV']",4
"['cs.SC', 'math.DS']",10
"['cs.CE', 'physics.med-ph']",14
"['cs.DS', 'cs.MA']",14
"['math.DS', 'q-bio.PE']",5
"['cs.CY', 'q-fin.GN']",4
"['cs.CE', 'cs.GR']",10
"['cs.MS', 'physics.flu-dyn']",3
"['math.DG', 'math.FA']",2
"['math.CA', 'math.NT']",3
"['cs.LG', 'nucl-th']",6
"['cs.CL', 'nlin.PS']",1
"['cs.CE', 'math.ST']",3
"['hep-ex', 'math.PR']",1
"['math.AP', 'physics.bio-ph']",1
"['math.OC', 'quant-ph']",48
"['cs.LG', 'physics.med-ph']",89
"['cs.DC', 'eess.SY']",94
"['cs.AI', 'q-bio.CB']",3
"['cs.CV', 'math.PR']",10
"['cs.CG', 'math.MG']",32
"['physics.data-an', 'stat.CO']",4
"['cs.DC', 'econ.GN']",4
"['physics.ins-det', 'physics.optics']",3
"['cond-mat.mtrl-sci', 'cs.MA']",1
"['cs.CE', 'cs.RO']",14
"['cs.CV', 'cs.DM']",9
"['cs.SI', 'physics.comp-ph']",1
"['cond-mat.stat-mech', 'cs.NE']",11
"['econ.GN', 'stat.AP']",15
"['cond-mat.dis-nn', 'math.OC']",7
"['math.DS', 'q-bio.MN']",1
"['cs.DC', 'q-bio.NC']",3
"['cs.RO', 'quant-ph']",4
"['cs.MS', 'stat.ME']",9
"['cs.NE', 'math.DS']",14
"['cs.CE', 'cs.ET']",4
"['cs.HC', 'cs.PF']",6
"['cond-mat.mtrl-sci', 'physics.atom-ph']",1
"['cs.RO', 'math.MG']",1
"['cs.CV', 'cs.MM']",706
"['math.CO', 'math.PR']",85
"['physics.chem-ph', 'physics.optics']",2
"['cs.CR', 'math-ph']",2
"['astro-ph.CO', 'gr-qc']",6
"['cs.DL', 'physics.data-an']",4
"['cs.CL', 'q-fin.GN']",10
"['cs.CR', 'cs.FL']",6
"['hep-lat', 'math.NA']",3
"['cs.CY', 'q-bio.OT']",4
"['math.DG', 'math.OC']",12
"['cs.SI', 'q-fin.CP']",2
"['cs.CG', 'math.PR']",4
"['math.CO', 'nlin.CD']",1
"['cs.NE', 'q-bio.OT']",1
"['cond-mat.stat-mech', 'cs.IR']",1
"['cs.AI', 'cs.GL']",4
"['cs.CV', 'q-fin.PM']",2
"['eess.IV', 'physics.data-an']",1
"['cs.GT', 'q-fin.MF']",2
"['cs.CV', 'eess.SP']",198
"['physics.data-an', 'physics.ins-det']",19
"['cs.CV', 'physics.med-ph']",125
"['cs.GT', 'stat.ML']",67
"['cs.CG', 'math.GN']",7
"['astro-ph.EP', 'cs.DC']",3
"['cs.CE', 'stat.AP']",23
"['cs.OH', 'cs.SE']",2
"['eess.SP', 'physics.data-an']",6
"['astro-ph.IM', 'cs.SD']",3
"['cs.CC', 'cs.RO']",4
"['astro-ph.EP', 'physics.space-ph']",5
"['astro-ph.HE', 'cs.CE']",1
"['cs.DM', 'math.MG']",13
"['eess.SP', 'math.ST']",24
"['q-bio.GN', 'q-bio.QM']",26
"['math.OC', 'nlin.AO']",3
"['cs.LG', 'math.AG']",24
"['cs.FL', 'cs.SI']",1
"['cs.DB', 'cs.MM']",7
"['nlin.AO', 'stat.AP']",2
"['eess.SP', 'physics.comp-ph']",1
"['cs.IT', 'math.ST']",193
"['cs.LG', 'q-bio.QM']",508
"['eess.SP', 'stat.AP']",28
"['cs.SI', 'math.AT']",6
"['math.AT', 'math.ST']",3
"['cs.RO', 'physics.bio-ph']",12
"['astro-ph.IM', 'eess.SP']",9
"['cs.AR', 'cs.RO']",14
"['cs.CE', 'hep-lat']",1
"['cond-mat.dis-nn', 'cond-mat.str-el']",6
"['astro-ph.EP', 'physics.ao-ph']",3
"['cs.CL', 'cs.LG']",3878
"['cs.DS', 'stat.ML']",175
"['cs.CV', 'cs.GR']",803
"['cs.LG', 'q-fin.ST']",123
"['q-fin.ST', 'stat.ML']",13
"['nlin.PS', 'physics.soc-ph']",2
"['cs.MA', 'q-bio.PE']",15
"['cs.MS', 'cs.SC']",5
"['cs.MS', 'physics.chem-ph']",1
"['cs.DS', 'cs.GR']",4
"['cs.DM', 'nlin.CG']",3
"['math.FA', 'physics.data-an']",1
"['cs.SI', 'math.LO']",1
"['math.SP', 'stat.ML']",1
"['cs.NI', 'cs.SD']",1
"['cs.AI', 'cs.NE']",640
"['cs.LG', 'q-bio.NC']",291
"['cs.DC', 'physics.comp-ph']",35
"['q-bio.GN', 'stat.AP']",10
"['econ.EM', 'math.OC']",5
"['cs.CR', 'q-fin.GN']",7
"['cs.IR', 'physics.soc-ph']",7
"['cond-mat.mtrl-sci', 'math.MG']",1
"['cs.CG', 'cs.IR']",3
"['math.DS', 'nlin.CG']",2
"['hep-th', 'math.CA']",1
"['math.GT', 'quant-ph']",2
"['eess.IV', 'stat.AP']",8
"['math.DG', 'physics.chem-ph']",1
"['cs.CV', 'cs.DC']",70
"['cs.MS', 'cs.PL']",6
"['cs.RO', 'math.DG']",9
"['cs.LG', 'physics.atm-clus']",3
"['cond-mat.dis-nn', 'cond-mat.soft']",5
"['cs.AI', 'q-bio.TO']",12
"['cs.CR', 'math.ST']",34
"['cs.SE', 'eess.SP']",3
"['cond-mat.mes-hall', 'physics.comp-ph']",6
"['eess.IV', 'physics.comp-ph']",9
"['cs.DC', 'physics.geo-ph']",1
"['cs.GR', 'stat.AP']",1
"['cs.CG', 'cs.IT']",2
"['cs.CV', 'quant-ph']",42
"['cs.GT', 'cs.LG']",384
"['cs.IR', 'cs.MM']",69
"['cs.CV', 'cs.SI']",34
"['cs.NE', 'cs.RO']",72
"['eess.SY', 'q-fin.GN']",1
"['physics.bio-ph', 'q-bio.PE']",6
"['cs.DB', 'cs.HC']",30
"['cs.SC', 'q-bio.QM']",4
"['cs.AR', 'cs.OH']",3
"['nlin.CG', 'physics.soc-ph']",5
"['cs.CL', 'math.OC']",6
"['cs.MS', 'physics.bio-ph']",1
"['cond-mat.stat-mech', 'cs.LG']",118
"['math.AP', 'stat.ML']",17
"['cs.MM', 'stat.ME']",2
"['cs.LG', 'q-fin.GN']",25
"['cs.GR', 'physics.geo-ph']",1
"['cond-mat.stat-mech', 'math-ph']",12
"['cs.LG', 'nucl-ex']",11
"['cond-mat.dis-nn', 'physics.atom-ph']",2
"['q-bio.MN', 'stat.ME']",1
"['cs.CV', 'q-bio.GN']",5
"['econ.TH', 'q-fin.TR']",3
"['physics.soc-ph', 'q-bio.NC']",2
"['cond-mat.soft', 'cs.CE']",6
"['eess.SY', 'physics.geo-ph']",1
"['astro-ph.EP', 'math.OC']",2
"['hep-th', 'physics.flu-dyn']",1
"['physics.comp-ph', 'physics.space-ph']",1
"['cond-mat.mtrl-sci', 'physics.chem-ph']",24
"['cs.DC', 'math.NA']",45
"['math.GT', 'stat.ML']",3
"['cs.CC', 'cs.CR']",43
"['cs.NI', 'physics.optics']",5
"['cs.GR', 'stat.ML']",7
"['astro-ph.SR', 'eess.IV']",3
"['math.NT', 'math.OC']",2
"['cs.GR', 'eess.AS']",23
"['cs.LG', 'q-fin.CP']",97
"['q-bio.NC', 'stat.ME']",5
"['cs.DC', 'physics.bio-ph']",2
"['cs.GT', 'nlin.AO']",3
"['eess.SP', 'nlin.CD']",3
"['cs.CV', 'econ.EM']",3
"['stat.ME', 'stat.OT']",5
"['cs.IT', 'math.QA']",3
"['cond-mat.str-el', 'cs.DS']",1
"['gr-qc', 'math-ph']",4
"['math.NA', 'math.RT']",1
"['cs.CR', 'econ.GN']",26
"['cs.DS', 'math.CO']",272
"['cs.DB', 'cs.OS']",4
"['cs.CV', 'math.ST']",13
"['cs.MM', 'math.NA']",1
"['cs.CV', 'cs.DS']",10
"['astro-ph.CO', 'astro-ph.HE']",2
"['cs.IR', 'econ.GN']",4
"['astro-ph.IM', 'hep-ex']",6
"['cs.DB', 'cs.ET']",3
"['eess.IV', 'physics.ins-det']",2
"['cs.SC', 'stat.ME']",1
"['cs.CY', 'physics.ed-ph']",5
"['cs.GT', 'q-fin.PR']",1
"['cs.OH', 'stat.ME']",1
"['cs.ET', 'quant-ph']",226
"['eess.IV', 'q-bio.NC']",55
"['cs.CC', 'cs.DS']",288
"['physics.comp-ph', 'physics.optics']",11
"['cs.AI', 'physics.optics']",16
"['math.NA', 'math.PR']",31
"['cond-mat.dis-nn', 'cond-mat.mtrl-sci']",22
"['cs.CG', 'cs.MA']",6
"['cs.DM', 'cs.MA']",12
"['cs.SI', 'q-fin.GN']",4
"['cs.CE', 'econ.EM']",3
"['cs.NE', 'q-fin.TR']",1
"['astro-ph.HE', 'stat.ML']",3
"['math.OC', 'q-fin.TR']",3
"['cs.FL', 'math.NA']",1
"['cs.AR', 'physics.med-ph']",1
"['astro-ph.EP', 'physics.comp-ph']",4
"['cs.DM', 'cs.NI']",3
"['cs.DS', 'nlin.AO']",1
"['cs.AR', 'cs.OS']",16
"['cs.GR', 'math.DS']",2
"['cs.CG', 'stat.ME']",1
"['cs.NE', 'physics.app-ph']",11
"['physics.acc-ph', 'physics.comp-ph']",2
"['cs.LG', 'math.GT']",12
"['cs.DL', 'math.AT']",1
"['cond-mat.stat-mech', 'nlin.CD']",5
"['cs.LG', 'math.AC']",5
"['cs.CV', 'q-bio.TO']",26
"['cs.DM', 'math.ST']",12
"['cs.MA', 'q-fin.CP']",4
"['math.CA', 'math.FA']",4
"['cs.CG', 'cs.ET']",1
"['cs.SI', 'physics.flu-dyn']",1
"['cs.ET', 'cs.SD']",4
"['econ.GN', 'stat.CO']",2
"['cs.IT', 'econ.GN']",6
"['cs.CE', 'q-bio.BM']",15
"['cs.CL', 'stat.ML']",132
"['cs.IT', 'math.AG']",30
"['cs.CV', 'cs.CY']",146
"['cs.CL', 'cs.SC']",17
"['eess.IV', 'q-bio.CB']",2
"['cs.AI', 'cs.DM']",44
"['astro-ph.EP', 'cs.AI']",8
"['math-ph', 'stat.ME']",1
"['q-bio.QM', 'stat.ME']",12
"['q-fin.PR', 'q-fin.TR']",1
"['cs.GR', 'physics.comp-ph']",5
"['math-ph', 'math.FA']",4
"['math.RT', 'math.SG']",1
"['cs.LG', 'eess.SP']",1308
"['cs.SI', 'physics.soc-ph']",359
"['cs.CE', 'q-bio.TO']",6
"['astro-ph.SR', 'physics.data-an']",2
"['math.CO', 'q-bio.MN']",3
"['cs.CE', 'cs.GT']",16
"['cs.CG', 'stat.OT']",1
"['cond-mat.str-el', 'cs.AI']",1
"['cs.CV', 'hep-ex']",7
"['cs.CG', 'cs.CL']",2
"['math.DG', 'physics.data-an']",1
"['cs.CR', 'eess.SP']",88
"['cs.CG', 'math.DG']",6
"['cs.LG', 'physics.plasm-ph']",29
"['cs.ET', 'math-ph']",2
"['cs.DS', 'math.DS']",5
"['cs.CY', 'cs.ET']",13
"['cs.AR', 'cs.IR']",1
"['cs.NE', 'math.CO']",5
"['cs.DL', 'cs.IT']",4
"['math.LO', 'math.PR']",7
"['econ.EM', 'q-bio.QM']",1
"['cs.DB', 'stat.OT']",1
"['cs.AI', 'cs.MM']",328
"['math.FA', 'math.OC']",10
"['cs.DC', 'cs.PF']",154
"['cs.CL', 'math.ST']",4
"['cs.LO', 'econ.TH']",1
"['astro-ph.HE', 'physics.space-ph']",2
"['cs.CV', 'cs.NI']",24
"['cs.SE', 'physics.acc-ph']",1
"['math-ph', 'math.MG']",2
"['cs.CY', 'stat.ML']",99
"['cs.CC', 'math.NT']",11
"['cs.NE', 'cs.NI']",13
"['q-bio.MN', 'q-bio.NC']",1
"['cs.CE', 'physics.data-an']",8
"['cs.MS', 'hep-ex']",1
"['cond-mat.dis-nn', 'hep-lat']",3
"['hep-ph', 'physics.hist-ph']",1
"['cs.CY', 'eess.IV']",15
"['cs.CE', 'physics.atom-ph']",1
"['cs.CG', 'physics.app-ph']",2
"['econ.GN', 'q-fin.TR']",7
"['cs.LG', 'physics.flu-dyn']",188
"['cs.LG', 'cs.SD']",943
"['cs.LG', 'stat.ME']",853
"['astro-ph.IM', 'gr-qc']",19
"['cs.CV', 'cs.DB']",25
"['math-ph', 'math.CO']",14
"['econ.GN', 'physics.soc-ph']",17
"['cs.DS', 'math.LO']",8
"['cs.IT', 'physics.app-ph']",8
"['cs.CL', 'q-bio.GN']",6
"['cond-mat.dis-nn', 'math-ph']",10
"['cs.IT', 'physics.class-ph']",2
"['cs.SD', 'math.NT']",2
"['cs.CR', 'econ.TH']",9
"['cond-mat.dis-nn', 'physics.soc-ph']",21
"['cs.CE', 'eess.SY']",37
"['cs.CG', 'eess.SP']",1
"['econ.TH', 'stat.ML']",6
"['cs.AI', 'math.AC']",2
"['math.FA', 'math.QA']",1
"['q-fin.GN', 'q-fin.ST']",3
"['cs.CE', 'econ.TH']",1
"['math.GR', 'quant-ph']",2
"['cs.DS', 'physics.chem-ph']",2
"['cs.CR', 'math.CT']",3
"['astro-ph.CO', 'physics.comp-ph']",1
"['math.CT', 'nlin.AO']",1
"['cs.IT', 'cs.LG']",690
"['cs.CL', 'cs.GL']",2
"['cs.NE', 'eess.IV']",22
"['cs.IT', 'math.AC']",20
"['cs.CY', 'q-fin.CP']",4
"['cs.AR', 'physics.flu-dyn']",1
"['math.CT', 'q-bio.NC']",2
"['cs.MS', 'q-bio.PE']",2
"['cs.CC', 'math.SG']",1
"['q-bio.TO', 'stat.ML']",1
"['eess.SY', 'math.CO']",2
"['cond-mat.stat-mech', 'gr-qc']",1
"['math.AT', 'q-bio.NC']",3
"['cs.CC', 'cs.ET']",7
"['cs.LG', 'math.ST']",643
"['cs.IT', 'cs.MA']",21
"['cs.GT', 'cs.SI']",32
"['cs.CC', 'q-bio.QM']",1
"['eess.AS', 'quant-ph']",3
"['cs.HC', 'physics.app-ph']",1
"['cs.PF', 'eess.SP']",11
"['nlin.CD', 'q-bio.MN']",1
"['cs.CV', 'cs.PL']",3
"['cs.DM', 'cs.GR']",2
"['cs.DS', 'cs.OS']",2
"['physics.flu-dyn', 'physics.plasm-ph']",1
"['cs.SC', 'q-bio.NC']",1
"['cs.SE', 'physics.med-ph']",1
"['hep-ex', 'physics.acc-ph']",1
"['math.AT', 'math.DS']",2
"['cs.DB', 'q-fin.ST']",1
"['cs.AR', 'cs.LG']",256
"['cs.AI', 'math.DG']",5
"['cs.NI', 'eess.SY']",143
"['physics.soc-ph', 'stat.AP']",21
"['astro-ph.IM', 'cs.NE']",4
"['cs.CY', 'nlin.AO']",10
"['cs.GR', 'cs.MM']",45
"['math.CT', 'math.PR']",12
"['eess.AS', 'physics.flu-dyn']",5
"['cond-mat.mtrl-sci', 'cs.HC']",3
"['eess.SP', 'physics.ed-ph']",1
"['cs.IR', 'cs.LO']",2
"['math.LO', 'q-bio.PE']",1
"['eess.SP', 'math.SP']",1
"['cs.DS', 'physics.pop-ph']",1
"['cs.IR', 'physics.chem-ph']",1
"['cs.LG', 'stat.ML']",6259
"['cs.AI', 'eess.IV']",327
"['cs.CL', 'cs.CR']",220
"['cs.AI', 'math.FA']",5
"['cs.CY', 'cs.LO']",16
"['cs.DS', 'cs.FL']",29
"['cs.IR', 'eess.AS']",66
"['cs.CG', 'q-bio.QM']",2
"['cs.AI', 'physics.geo-ph']",14
"['eess.SP', 'quant-ph']",9
"['math.DS', 'math.SP']",6
"['physics.app-ph', 'stat.AP']",2
"['math.OC', 'q-bio.MN']",1
"['cs.DS', 'cs.NI']",19
"['cs.HC', 'physics.optics']",4
"['cs.LG', 'cs.OS']",10
"['physics.chem-ph', 'physics.flu-dyn']",3
"['physics.med-ph', 'q-bio.QM']",11
"['nucl-th', 'physics.plasm-ph']",1
"['cs.CC', 'math.GN']",2
"['cond-mat.quant-gas', 'physics.optics']",1
"['cs.CR', 'q-fin.PR']",2
"['cs.MS', 'math.AP']",1
"['cs.GT', 'math.LO']",3
"['cs.CG', 'quant-ph']",1
"['cond-mat.dis-nn', 'math.ST']",17
"['cs.PF', 'quant-ph']",19
"['cs.AI', 'math.NA']",105
"['cs.IT', 'math.NT']",44
"['physics.ao-ph', 'physics.space-ph']",3
"['nlin.PS', 'physics.flu-dyn']",3
"['astro-ph.IM', 'math.OC']",2
"['physics.flu-dyn', 'physics.soc-ph']",2
"['cs.DC', 'q-bio.MN']",1
"['cs.LO', 'math.FA']",1
"['cs.CC', 'math.AT']",4
"['math.OC', 'physics.space-ph']",1
"['cs.CG', 'math.DS']",3
"['eess.SP', 'physics.class-ph']",3
"['cs.CE', 'cs.DM']",2
"['cs.AR', 'cs.LO']",7
"['hep-ph', 'physics.ins-det']",14
"['cs.MA', 'nlin.CD']",4
"['cs.SI', 'stat.ME']",40
"['math.PR', 'quant-ph']",11
"['cs.SC', 'hep-ph']",2
"['math.NA', 'q-fin.MF']",1
"['cs.IR', 'quant-ph']",3
"['cs.GT', 'quant-ph']",10
"['cs.LG', 'math.MG']",7
"['math.QA', 'stat.CO']",1
"['math.QA', 'stat.ML']",1
"['cs.CC', 'math.GT']",2
"['hep-th', 'math.GT']",3
"['cond-mat.other', 'cs.LG']",2
"['cs.OS', 'eess.SY']",7
"['cs.RO', 'math.CT']",1
"['cs.AI', 'cs.HC']",1068
"['math.NA', 'stat.CO']",22
"['cs.IT', 'math.CA']",8
"['eess.SY', 'q-bio.PE']",4
"['cs.LG', 'math.CO']",48
"['astro-ph.SR', 'physics.ao-ph']",1
"['cs.IT', 'cs.NE']",15
"['cs.CG', 'cs.DM']",45
"['cs.IT', 'q-bio.BM']",2
"['math.MG', 'stat.ML']",2
"['cs.DS', 'math.RA']",4
"['cs.IR', 'math.DG']",1
"['cs.AI', 'cs.LO']",333
"['cs.CL', 'cs.MA']",25
"['cs.DC', 'quant-ph']",33
"['cs.IR', 'stat.ME']",8
"['math.OC', 'physics.med-ph']",5
"['cs.RO', 'cs.SD']",10
"['cs.SC', 'math.RA']",7
"['cs.IT', 'cs.LO']",10
"['cs.AR', 'nlin.PS']",1
"['q-bio.NC', 'quant-ph']",7
"['cs.SI', 'q-fin.TR']",4
"['cs.CR', 'physics.app-ph']",3
"['cs.CV', 'econ.GN']",9
"['cs.SC', 'q-bio.MN']",2
"['cs.AI', 'math.QA']",1
"['cs.PL', 'stat.ML']",3
"['cs.AI', 'cs.LG']",11766
"['cs.LG', 'physics.chem-ph']",200
